marka,raw_ilan_sayisi,train_ilan_sayisi,kayip_ilan_sayisi,retention_pct,benzersiz_model_sayisi,benzersiz_yil_sayisi,min_yil,max_yil,min_fiyat,median_fiyat,mean_fiyat,max_fiyat,fiyat_araligi,p10_fiyat,p90_fiyat,min_km,median_km,max_km,arabam_ilan_sayisi,kaggle_legacy_ilan_sayisi,current_scrape_ratio,synthetic_currently_used,current_synthetic_count,brand_support_level,models_with_n_le_2,models_with_n_3_5,models_with_n_6_10,models_with_n_11_20,models_with_n_gt_20,weak_model_count,weak_model_ratio,synthetic_priority,preliminary_synthetic_candidate,synthetic_reason
Citroen,11025,10916,109,99.0,34,34,1990.0,2026.0,22000.0,665000.0,800691.550476365,2150000.0,2128000.0,319450.0,1499999.5,0.0,164707.5,760000.0,8369,2547,76.7,False,0,VERY_STRONG,3,3,0,3,25,6,17.6,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Honda,9818,9723,95,99.0,16,39,1986.0,2025.0,14700.0,975000.0,1039268.0655147588,2450000.0,2435300.0,415000.0,1725000.0,6000.0,183000.0,845000.0,7179,2544,73.8,False,0,VERY_STRONG,3,5,2,0,6,10,62.5,LOW,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Audi,8661,8575,86,99.0,30,45,1981.0,2026.0,50000.0,1450000.0,1843056.549387755,8750000.0,8700000.0,680000.0,3490000.0,6000.0,187000.0,950000.0,6039,2536,70.4,False,0,VERY_STRONG,3,2,6,4,15,10,33.3,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Skoda,8215,8125,90,98.9,18,38,1989.0,2026.0,10000.0,1149500.0,1164614.1005538462,3400000.0,3390000.0,285000.0,2050000.0,0.0,170000.0,1000000.0,5618,2507,69.1,False,0,VERY_STRONG,0,2,2,1,13,4,22.2,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Dacia,6454,6394,60,99.1,11,24,2001.0,2026.0,115000.0,745000.0,764602.7841726618,1550000.0,1435000.0,325000.0,1255000.0,1.0,160000.0,1000000.0,4672,1722,73.1,False,0,VERY_STRONG,2,0,0,1,8,2,18.2,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Seat,6394,6329,65,99.0,12,32,1991.0,2026.0,60000.0,835000.0,873338.0881655869,2150000.0,2090000.0,330000.0,1460000.0,0.0,177000.0,900000.0,3808,2521,60.2,False,0,VERY_STRONG,2,1,0,2,7,3,25.0,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Nissan,6366,6303,63,99.0,29,39,1986.0,2026.0,10050.0,929750.0,1034138.4132952562,2850000.0,2839950.0,340000.0,1825000.0,8.0,155000.0,737000.0,5280,1023,83.8,False,0,VERY_STRONG,9,2,2,2,14,13,44.8,LOW,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Tofaş,5053,4970,83,98.4,5,33,1971.0,2003.0,10000.0,165000.0,176900.35875251508,424000.0,414000.0,110000.0,259050.00000000017,6000.0,156765.0,1000000.0,2458,2512,49.5,False,0,VERY_STRONG,0,0,0,0,5,0,0.0,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Kia,4917,4867,50,99.0,26,33,1993.0,2026.0,47500.0,830000.0,920458.0246558455,2750000.0,2702500.0,345000.0,1600000.0,0.0,168500.0,560000.0,3502,1365,72.0,False,0,VERY_STRONG,4,1,3,2,16,6,23.1,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Chevrolet,4530,4482,48,98.9,21,26,1951.0,2026.0,115000.0,474000.0,497908.81548415887,2850000.0,2735000.0,290000.0,725000.0,0.0,201000.0,737000.0,2565,1917,57.2,False,0,VERY_STRONG,7,3,1,1,9,11,52.4,LOW,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
