marka,model,raw_real_count,train_real_count,unique_year_count,min_year,max_year,min_km,median_km,max_km,min_price,median_price,max_price,price_cv,price_age_corr,current_hp_support,current_hp_source,current_hp_method,source_distribution,arabam_count,kaggle_count,in_ui_catalog,synthetic_candidate,priority,recommended_synthetic_count,reason,synthetic_safe,safety_reason,interpolation_year_range,interpolation_km_range,interpolation_price_range,exclude,second_wave_score,risk_notes,proposed_synthetic_count,current_scrape_ratio
Lamborghini,Gallardo,3,3,2,2008.0,2012.0,29000.0,71450.0,97000.0,13250000.0,15950000.0,18750000.0,0.1405,-0.8851,3,brand_model,theil_sen,"arabam=2, kaggle=1",2,1,True,True,CRITICAL,9,"train support 3 (3-7 bandi, +20); synthetic_safe=true (+15); 2 guncel arabam- kayit (+15); premium/high-value (medyan 15,950,000 >= 2,393,000) (+10); dusuk hp_support/zayif fallback (3, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2008-2012,"29,000-97,000","13,250,000-18,750,000",False,90,yok,6,0.6666666666666666
Renault,Twizy,4,4,4,2013.0,2018.0,12000.0,27415.5,43000.0,365000.0,377450.0,480000.0,0.1183,0.3258,4,brand_model,theil_sen,"arabam=2, kaggle=2",2,2,True,True,CRITICAL,8,"train support 4 (3-7 bandi, +20); synthetic_safe=true (+15); 4 farkli yil (+10); 2 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (4, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2013-2018,"12,000-43,000","365,000-480,000",False,90,yok,6,0.5
Subaru,BRZ,4,4,3,2012.0,2016.0,64900.0,105000.0,128000.0,1297500.0,1899500.0,2950000.0,0.3204,0.3647,4,brand_model,theil_sen,"arabam=2, kaggle=2",2,2,True,True,CRITICAL,8,"train support 4 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 2 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (4, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2012-2016,"64,900-128,000","1,297,500-2,950,000",False,90,yok,6,0.5
Mercedes - Benz,560,3,3,3,1987.0,1989.0,153765.0,175400.0,230000.0,3500000.0,3695000.0,3950000.0,0.0496,0.4475,3,brand_model,theil_sen,"arabam=2, kaggle=1",2,1,True,True,CRITICAL,5,"train support 3 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 2 guncel arabam- kayit (+15); premium/high-value (medyan 3,695,000 >= 2,393,000) (+10); dusuk hp_support/zayif fallback (3, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1987-1989,"153,765-230,000","3,500,000-3,950,000",False,90,"cok eski model (max_year=1989), dusuk ticari onem (-10)",6,0.6666666666666666
Volta,VS2,3,3,3,2024.0,2026.0,0.0,6000.0,6001.0,36500.0,37500.0,38900.0,0.0262,-0.9962,3,brand_model,theil_sen,arabam=3,3,0,True,True,CRITICAL,5,"train support 3 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 3 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (3, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2024-2026,"0-6,001","36,500-38,900",False,90,yok,6,1.0
Mazda,MX,12,4,4,1990.0,2018.0,72000.0,104000.0,152000.0,1199000.0,1325000.0,1420000.0,0.0654,0.2857,4,brand_model,theil_sen,"arabam=7, kaggle=5",7,5,True,True,CRITICAL,8,"train support 4 (3-7 bandi, +20); synthetic_safe=true (+15); 4 farkli yil (+10); 7 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (4, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1990-2018,"72,000-152,000","1,199,000-1,420,000",False,90,yok,6,0.5833333333333334
Mazda,5,4,4,4,2006.0,2013.0,175000.0,255650.0,275000.0,534750.0,677500.0,750000.0,0.1268,-0.9349,4,brand_model,theil_sen,"arabam=2, kaggle=2",2,2,True,True,CRITICAL,8,"train support 4 (3-7 bandi, +20); synthetic_safe=true (+15); 4 farkli yil (+10); 2 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (4, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2006-2013,"175,000-275,000","534,750-750,000",False,90,yok,6,0.5
Volkswagen,Phaeton,3,3,3,2005.0,2009.0,122000.0,177000.0,178000.0,1849000.0,2500000.0,2850000.0,0.1728,-0.0187,3,brand_model,theil_sen,arabam=3,3,0,True,True,CRITICAL,5,"train support 3 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 3 guncel arabam- kayit (+15); premium/high-value (medyan 2,500,000 >= 2,393,000) (+10); dusuk hp_support/zayif fallback (3, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2005-2009,"122,000-178,000","1,849,000-2,850,000",False,90,"cok eski model (max_year=2009), dusuk ticari onem (-10)",6,1.0
Alfa Romeo,Giulia,7,3,2,2017.0,2020.0,62000.0,93000.0,159000.0,2250000.0,2725000.0,2740000.0,0.0885,-0.9997,3,brand_model,theil_sen,"arabam=2, kaggle=5",2,5,True,True,CRITICAL,9,"train support 3 (3-7 bandi, +20); synthetic_safe=true (+15); 2 guncel arabam- kayit (+15); premium/high-value (medyan 2,725,000 >= 2,393,000) (+10); dusuk hp_support/zayif fallback (3, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2017-2020,"62,000-159,000","2,250,000-2,740,000",False,90,yok,6,0.2857142857142857
MG,EHS,5,5,3,2021.0,2024.0,30405.0,63000.0,100800.0,1660000.0,1850000.0,2258750.0,0.1139,-0.9313,5,brand_model,theil_sen,arabam=5,5,0,True,True,CRITICAL,10,"train support 5 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 5 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (5, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2021-2024,"30,405-100,800","1,660,000-2,258,750",False,90,yok,6,1.0
Mazda,BT50,6,6,3,2009.0,2011.0,231000.0,389500.0,485000.0,340000.0,560000.0,725000.0,0.2279,-0.8925,6,brand_model,theil_sen,arabam=6,6,0,True,True,CRITICAL,9,"train support 6 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 6 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (6, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2009-2011,"231,000-485,000","340,000-725,000",False,90,yok,6,1.0
Regal Raptor,K5 Long,7,7,5,2022.0,2026.0,0.0,6000.0,6001.0,130000.0,187750.0,235000.0,0.1995,-0.6017,7,brand_model,theil_sen,"arabam=4, kaggle=3",4,3,True,True,HIGH,6,"train support 7 (3-7 bandi, +20); synthetic_safe=true (+15); 5 farkli yil (+10); 4 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (7, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2022-2026,"0-6,001","130,000-235,000",False,90,yok,6,0.5714285714285714
Iveco - Otoyol,35,8,7,5,2016.0,2024.0,15000.0,89000.0,223000.0,775000.0,1450000.0,1525000.0,0.2289,-0.8925,7,brand_model,theil_sen,arabam=8,8,0,True,True,CRITICAL,10,"train support 7 (3-7 bandi, +20); synthetic_safe=true (+15); 5 farkli yil (+10); 8 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (7, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2016-2024,"15,000-223,000","775,000-1,525,000",False,90,yok,6,1.0
Regal Raptor,K4,5,5,3,2023.0,2026.0,0.0,6000.0,6001.0,135000.0,150000.0,163000.0,0.0767,-0.8935,5,brand_model,theil_sen,"arabam=4, kaggle=1",4,1,True,True,CRITICAL,6,"train support 5 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 4 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (5, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2023-2026,"0-6,001","135,000-163,000",False,90,yok,6,0.8
